idx_type,date,value
i6_index,2014-01-01,1.72344470380522
i6_index,2014-04-01,0.951854143450459
i6_index,2014-07-01,-0.608439974867369
i6_index,2014-10-01,-11.245885472613
i6_index,2015-01-01,-6.09074510481764
i6_index,2015-04-01,-5.82894669221646
i6_index,2015-07-01,-18.7926646800723
i6_index,2015-10-01,-17.5215836602801
i6_index,2016-01-01,-13.7568113803503
i6_index,2016-04-01,-14.6291489099975
i6_index,2016-07-01,-15.3769540154041
i6_index,2016-10-01,-13.3700883918617
i6_index,2017-01-01,-3.19898026635302
i6_index,2017-04-01,-7.79893868532556
i6_index,2017-07-01,-3.10633504630728
i6_index,2017-10-01,-2.28421111639121
i6_index,2018-01-01,4.98281829295467
i6_index,2018-04-01,1.89804244942391
i11_econ_hist,1972-10-01,0.245098039215686
i11_econ_hist,1973-01-01,-6.90476190476191
i11_econ_hist,1973-04-01,-4.93562231759657
i11_econ_hist,1973-07-01,-6.17283950617284
i11_econ_hist,1973-10-01,-24.4488977955912
i11_econ_hist,1974-01-01,-33.4622823984526
i11_econ_hist,1974-04-01,-60.4301075268817
i11_econ_hist,1974-07-01,-53.5483870967742
i11_econ_hist,1974-10-01,-70.0234192037471
i11_econ_hist,1975-01-01,-70.6263498920087
i11_econ_hist,1975-04-01,-101.932367149758
i11_econ_hist,1975-07-01,-84.2794759825327
i11_econ_hist,1975-10-01,-97.1374045801527
i11_econ_hist,1976-01-01,-98.8142292490119
i11_econ_hist,1976-04-01,-50.5154639175258
i11_econ_hist,1976-07-01,5.33333333333333
i11_econ_hist,1976-10-01,-1.32827324478178
i11_econ_hist,1977-01-01,-39.8
i11_econ_hist,1977-04-01,-1.9723865877712
i11_econ_hist,1977-07-01,23.1182795698925
i11_econ_hist,1977-10-01,23.9651416122004
i11_econ_hist,1978-01-01,13.1889763779528
i11_econ_hist,1978-04-01,11.965811965812
i11_econ_hist,1978-07-01,19.4029850746269
i11_econ_hist,1978-10-01,-23.9263803680982
i11_econ_hist,1979-01-01,-8.43621399176955
i11_econ_hist,1979-04-01,16.9197396963124
i11_econ_hist,1979-07-01,1.33630289532294
i11_econ_hist,1979-10-01,2.89256198347107
i11_econ_hist,1980-01-01,11.0077519379845
i11_econ_hist,1980-04-01,19.5548489666137
i11_econ_hist,1980-07-01,16.7464114832536
i11_econ_hist,1980-10-01,1.08527131782946
i11_econ_hist,1981-01-01,-3.5964035964036
i11_econ_hist,1981-04-01,-23.6816874400767
i11_econ_hist,1981-07-01,-22.1135029354207
i11_econ_hist,1981-10-01,-29.2112950340798
i11_econ_hist,1982-01-01,-41.1934552454283
i11_econ_hist,1982-04-01,-42.175572519084
i11_econ_hist,1982-07-01,-60.4406130268199
i11_econ_hist,1982-10-01,-70.5479452054795
i11_econ_hist,1983-01-01,-70.0862895493768
i11_econ_hist,1983-04-01,-46.6922339405561
i11_econ_hist,1983-07-01,-45.0850661625709
i11_econ_hist,1983-10-01,-30.3176130895091
i11_econ_hist,1984-01-01,-29.4339622641509
i11_econ_hist,1984-04-01,-25.717017208413
i11_econ_hist,1984-07-01,-12.5613346418057
i11_econ_hist,1984-10-01,-1.53256704980843
i11_econ_hist,1985-01-01,-0.39177277179236
i11_econ_hist,1985-04-01,4.54985479186835
i11_econ_hist,1985-07-01,8
i11_econ_hist,1985-10-01,15.6279961649089
i11_econ_hist,1986-01-01,24.7159090909091
i11_econ_hist,1986-04-01,30.9248554913295
i11_econ_hist,1986-07-01,24.633431085044
i11_econ_hist,1986-10-01,25.0968992248062
i11_econ_hist,1987-01-01,18.921568627451
i11_econ_hist,1987-04-01,9.25024342745862
i11_econ_hist,1987-07-01,14.1547861507128
i11_econ_hist,1987-10-01,7.1
i11_econ_hist,1988-01-01,-2.10631895687061
i11_econ_hist,1988-04-01,-9.68688845401174
i11_econ_hist,1988-07-01,11.3702623906706
i11_econ_hist,1988-10-01,21.4007782101167
i11_econ_hist,1989-01-01,38.0157170923379
i11_econ_hist,1989-04-01,27.2638753651412
i11_econ_hist,1989-07-01,11.9070667957406
i11_econ_hist,1989-10-01,27.2164948453608
i11_econ_hist,1990-01-01,-1.8018018018018
i11_econ_hist,1990-04-01,0
i11_econ_hist,1990-07-01,-6.89310689310689
i11_econ_hist,1990-10-01,-45.3488372093023
i11_econ_hist,1991-01-01,-50.0994035785288
i11_econ_hist,1991-04-01,-54.1704857928506
i11_econ_hist,1991-07-01,-69.5736434108527
i11_econ_hist,1991-10-01,-92.1860465116279
i11_econ_hist,1992-01-01,-105.750224618149
i11_econ_hist,1992-04-01,-100.93896713615
i11_econ_hist,1992-07-01,-106.114769520226
i11_econ_hist,1992-10-01,-114.741784037559
i11_econ_hist,1993-01-01,-102.327746741155
i11_econ_hist,1993-04-01,-103.305004721435
i11_econ_hist,1993-07-01,-99.2395437262358
i11_econ_hist,1993-10-01,-86.3977485928706
i11_econ_hist,1994-01-01,-64.9812734082397
i11_econ_hist,1994-04-01,-30.8571428571429
i11_econ_hist,1994-07-01,-15.9735349716446
i11_econ_hist,1994-10-01,-7.36842105263158
i11_econ_hist,1995-01-01,-16.4473684210526
i11_econ_hist,1995-04-01,-10.5360443622921
i11_econ_hist,1995-07-01,-27.887323943662
i11_econ_hist,1995-10-01,-29.7322253000923
i11_econ_hist,1996-01-01,-54.7933157431838
i11_econ_hist,1996-04-01,-76.778413736713
i11_econ_hist,1996-07-01,-85.7275254865616
i11_econ_hist,1996-10-01,-84.400826446281
i11_econ_hist,1997-01-01,-88.2836587872559
i11_econ_hist,1997-04-01,-74.9478079331942
i11_econ_hist,1997-07-01,-53.75
i11_econ_hist,1997-10-01,-20.4610951008646
i11_econ_hist,1998-01-01,-33.5849056603774
i11_econ_hist,1998-04-01,-6.50485436893204
i11_econ_hist,1998-07-01,16.2724692526017
i11_econ_hist,1998-10-01,4.42913385826772
i11_econ_hist,1999-01-01,3.19148936170213
i11_econ_hist,1999-04-01,-3.11890838206628
i11_econ_hist,1999-07-01,7.14285714285714
i11_econ_hist,1999-10-01,22.6248775710088
i11_econ_hist,2000-01-01,33.9901477832512
i11_econ_hist,2000-04-01,41.501976284585
i11_econ_hist,2000-07-01,54.5019157088123
i11_econ_hist,2000-10-01,51.7771373679155
i11_econ_hist,2001-01-01,48.3221476510067
i11_econ_hist,2001-04-01,38.1553398058252
i11_econ_hist,2001-07-01,24.2483026188167
i11_econ_hist,2001-10-01,-51.3145082765336
i11_econ_hist,2002-01-01,-49.5183044315992
i11_econ_hist,2002-04-01,-34.0776699029126
i11_econ_hist,2002-07-01,-47.8134110787172
i11_econ_hist,2002-10-01,-101.320754716981
i11_econ_hist,2003-01-01,-80.7400379506641
i11_econ_hist,2003-04-01,-98.6915887850467
i11_econ_hist,2003-07-01,-89.8320895522388
i11_econ_hist,2003-10-01,-63.5348837209302
i11_econ_hist,2004-01-01,-56.0521415270019
i11_econ_hist,2004-04-01,-26.2218045112782
i11_econ_hist,2004-07-01,-19.4986072423398
i11_econ_hist,2004-10-01,-30.9192200557103
i11_econ_hist,2005-01-01,-28.2003710575139
